word,times,recordings,suggestion,type,example (recording),example context
gillespie's,1,1,glimpse's | gillrspie's,"check: unusual word, term or non-English",salon-079,hort Excerptive you'll bear with me of Peter Gillespie's description of these 2 pictures. Both pictur
gillespie,1,1,Gillespie | glimpse,likely misspelling / mishearing,salon-104,"at he was, you know, dancing around to Dizzy Gillespie or whatever, but he did not. He listened to "
gilles,1,1,Gilles | Giles | gills,likely misspelling / mishearing,interview-016,"rk, but mostly I have to admit Paul Virilio, Gilles Deleuze, and of course, Felix Vartari, who w"
gilbert,1,1,Gilbert | Gilberto | filbert,likely misspelling / mishearing,salon-105,"wing up, what was….  Anytime.  I went to the Gilbert Hall of Science, in… And to experience remot"
gilan,1,1,Milan | Gillian | Gilman,likely misspelling / mishearing,salon-101," everyone. I'm Sahar. I'm zooming from Iran, Gilan province. And I changed my mind. I'm going t"
giger,1,1,tiger | ginger | Geiger,likely misspelling / mishearing,salon-107, St. Petersburg. So I'll create something in Giger style with my machines. I think it's fun. An
gicle,1,1,girl | Gill | gill,"check: unusual word, term or non-English",salon-066,"frames. They can have this really high class gicle.  And I was like, and I, and again, me havin"
giacometti,1,1,Giacometti,likely misspelling / mishearing,roundtable-001," Beckmann and Paul Klee to Francis Bacon and Giacometti in here. So very, very different approaches."
gharakhani,1,1,,"check: unusual word, term or non-English",salon-046,Asra Gharakhani.
geyson,1,1,Greyson | geyser,likely misspelling / mishearing,salon-078,"f collage works. William Burroughs and Brian geyson working with this idea of the cut up, and I "
gewdy,1,1,gaudy,"check: unusual word, term or non-English",salon-090, us how small these realistic shoots were of gewdy highway przy indulgent snake Disneyantes can
gesenka's,1,1,,"check: unusual word, term or non-English",salon-101,"cey Ant and Vince Fraser, Laser Gun Factory, Gesenka's Funhouse, and Carrie Ann Shimsham, besides m"
gesamtkunstwerk,1,1,,"check: unusual word, term or non-English",salon-087,"ts.  Loop Art Critique merges the concept of Gesamtkunstwerk, a total work of art with contemporary digit"
gert,1,1,get | Greta | Bert,likely misspelling / mishearing,salon-032,"in random sequence, like the color charts of Gert Richter. And this was an MRI of a kiwi. And "
gerstmann,1,1,,"check: unusual word, term or non-English",salon-050,"s Senate to design a chair for Rafi Friedman Gerstmann, who was the first transgender, openly trans"
gericault,1,1,,"check: unusual word, term or non-English",salon-043," I was in particular thinking of the work of Gericault, the French 19th century painter who, his be"
gerbark,1,1,Gerber,"check: unusual word, term or non-English",salon-091,. Digital Visions.  There's a piece by Darcy Gerbark. This tile piece. This further affirmation t
gerald,1,1,Gerald | Gerard | Geraldo,likely misspelling / mishearing,salon-109,"gs is just kind of a switch. But I relate to Gerald Richter a lot.  Like, you know, use your tal"
ger,1,1,get | her | gee,"check: unusual word, term or non-English",interview-004,"ta comes from a German Gram from LP entitled Ger, Sacker, Orden. And over here is now John Ca"
georgetown,1,1,Georgetown,likely misspelling / mishearing,salon-102,", Technology, and International Affairs from Georgetown University. She is an Assistant Professor of"
geoglyphs,1,1,,"check: unusual word, term or non-English",salon-042,"ng and glyphs represents my fascination with geoglyphs, petroglyphs, seagulls and the acknowledgeme"
geoengineering,1,1,,"check: unusual word, term or non-English",salon-041,"e's this amazing book called Geotherapy, not geoengineering, but geotherapy. And the stats are amazing. "
gentileschi,1,1,gentiles chi | gentiles-chi,likely misspelling / mishearing,interview-030,"d, like, Judith Leister, you know, Artemisia Gentileschi, but it was just, you know, I could count th"
gensh,1,1,genes | gens | genus,likely misspelling / mishearing,salon-108,"at we had done for Techspressionism.  In our Gensh, which… we had cleaned up a lot of the style"
generis,1,1,generic | genesis | generous,likely misspelling / mishearing,salon-104,"upposed to… everything is supposed to be sui generis and not rely on any outside,"
gench,1,1,bench | tench | wench,likely misspelling / mishearing,salon-096,tion that's taking place this fall in. We're Gench in a museum that has been organized by Cynth
gemma,1,1,Gemma | Emma | gamma,likely misspelling / mishearing,salon-099,"everyone, my name's Clara Francesca, and I'm Gemma Chatima Tova for those practicing today. I'm"
gellman,1,1,Glenn | Gillian | bellman,"check: unusual word, term or non-English",salon-095,"acher from the School of Visual Arts, Rachel Gellman, going back to the 80s. Anyway, I did want t"
geison,1,1,gesso | grison,"check: unusual word, term or non-English",interview-028," what William Burroughs was doing with Brian Geison, for example, cutting up pages of poetry and"
gehring,1,1,gearing | Behring | Gehrig,likely misspelling / mishearing,interview-003," like that, I was already showing with Sandy Gehring gallery and, you know, doing some beautiful "
geclay,1,1,,"check: unusual word, term or non-English",salon-008,t taking paintings and then making a digital geclay print of them which is where sort of that ge
gebhardt's,1,1,Mgebhardt's,likely misspelling / mishearing,salon-086,"e had that I didn't show is we do have Darcy Gebhardt's work here, which is a, I'm sorry, it's an au"
ge,1,1,he | be | gee,"check: unusual word, term or non-English",salon-037,"l. I studied music. But by the time I got to GE, I had to teach. I did take some statistics "
gdp,1,1,gap | gip,"check: unusual word, term or non-English",interview-016,"what economists call gross domestic product, GDP, growth. You know, all of these things are a"
gbi,1,1,gib | Gobi | gfi,"check: unusual word, term or non-English",salon-082," my brilliant cousin was able to get all the Gbi recordings and everything of that night, you"
gatti,1,1,Patti | gate | Matti,likely misspelling / mishearing,salon-057,"yeah. Who's your mom? Elizabeth Aiken, Santa Gatti. Oh, I know all the Akens. Yeah. So I just w"
gatekeep,1,1,gatekeeper | gate keep | gate-keep,likely misspelling / mishearing,salon-029,It's a little hard to gatekeep when you make a place that has no gate. Exac
gastroquill,1,1,,"check: unusual word, term or non-English",salon-055, stills belong to a collection called Indigo Gastroquill. This is a still. This is a still from one o
gariborg,1,1,garbing,"check: unusual word, term or non-English",salon-010,rint it there but it's my name it's Darcy at gariborg.com so if you want to come visit me email me
gardner,1,1,Gardner | garner | gardener,likely misspelling / mishearing,presentation-001,s were influenced by this photo by Alexander Gardner from 1863 showing a man who kept our country
garber,1,1,garner | barber | garter,likely misspelling / mishearing,salon-099,"e human rights, featuring celebs like Victor Garber here. This was played over 12 weeks, and it "
garabatospr,1,1,,"check: unusual word, term or non-English",salon-097,"y name is Elio Ramos-Colón, and my handle is GarabatosPR on Instagram and Twitter also. So, I'm going"
gao,1,1,gas | gap | gal,"check: unusual word, term or non-English",salon-108,"phen Paray. Steven Ferre is one, and Yue Hao Gao. So it was just wonderful working with them,"
gann's,1,1,gains | Ann's | gangs,"check: unusual word, term or non-English",interview-030,"You see early training. This is working with Gann's model, so that kind of technology that I bri"
ganas's,1,1,gang's | gannet's | Gantt's,"check: unusual word, term or non-English",salon-086,ront. And a front table with... That's Carla Ganas's work on it. And a number of books and candy 
gamwell,1,1,gamble | gam well | gam-well,"check: unusual word, term or non-English",salon-058, traveling museum exhibition curated by Lynn Gamwell. And this was our contribution. There's a bo
gammatime,1,1,gamma time | gamma-time,likely misspelling / mishearing,salon-105,"he, together. And then, and now, gamma time. GammaTime is called GammaTime, this is very important,"
gamebook,1,1,gamecock | game book | gambol,"check: unusual word, term or non-English",interview-019,"Mitra, So here again, it is actually missing gamebook, but if I show the next slide you'll underst"
gamboa,1,1,Gambia | gamba | gambol,likely misspelling / mishearing,salon-097,"ntemporary artists and creative coder Manuel Gamboa now, which is actually... The first work tha"
galtea,1,1,gilt | Galatea | galea,"check: unusual word, term or non-English",salon-018, so many times AI mixes with narcissus flash galtea do you think that AI is a way we hold a mirr
galleriste,1,1,gallerists,likely misspelling / mishearing,salon-037,lothing. And this is made by a company in Le Galleriste in Montreal.
gallaud,1,1,galled | galleried | gal laud,"check: unusual word, term or non-English",salon-042,"ess, and Color in Painting Therapy by Leanne Gallaud de Hurbois. The book gives very detailed wri"
gallagher,1,1,Gallagher,likely misspelling / mishearing,salon-070,ist movement and havard was one of the names gallagher is another name and these people were creati
galesse,1,1,Gaels | gales,"check: unusual word, term or non-English",salon-079,"0, very rigorous, and then maybe later. Here Galesse points out in the 16 hundreds. This is Emman"
galentine,1,1,valentine | galantine,likely misspelling / mishearing,salon-105,"topped since. And, and now, we're working on Galentine and Arbor's expert, the XR space, participan"
galapagos,1,1,Galapagos,likely misspelling / mishearing,salon-027,it was a surprise to me to find out that the Galapagos organization wanted my work for their annual
gainsborough,1,1,Gainsborough | gains borough | gains-borough,likely misspelling / mishearing,salon-015,ou know I had I had some relatives who had a gainsborough up on the wall in that sort of thing so I me
gainesville,1,1,Gainesville,likely misspelling / mishearing,salon-087,ay from it.  That's it. Electronic volts Yay Gainesville Center 4040 Damien Beautiful thank you where
gain-marie,1,1,bain-marie | gain-mare | gain-marine,likely misspelling / mishearing,salon-087, this is Short Circuit. It's a piece by Bena Gain-Marie. And Bena has been with us since the very be
gaimans,1,1,caimans | caiman's | gasman's,likely misspelling / mishearing,salon-078,erlap absolutely. They overlap. This is Neil Gaimans and David Mckeon's the day I swapped my dad 
gai,1,1,gas | tai | gal,"check: unusual word, term or non-English",salon-024,ou need a unity so we have a festival called gai handi where we meet the pyramid to reach the
gaddafi,1,1,Gaddafi | Qaddafi,likely misspelling / mishearing,salon-058,"bited Saatchi Gallery London, Great Britain, Gaddafi, France, ReArt Ukraine, Museum of Modern Art"
gabo,1,1,gabs | Cabo | gab,"check: unusual word, term or non-English",salon-066,"chnologies to create. Also, hello, Nina. Hi, Gabo. How's it going? Okay, okay. The dog is comi"
gabarg,1,1,gabbing | gabber | gabbers,"check: unusual word, term or non-English",salon-094,til we get to some people showing up.  Darcy Gabarg has a beautiful augmented reality sculpture 
fy,1,1,Fe,"check: unusual word, term or non-English",salon-049,y running around the entire school screaming FY to everybody else. Right. It so I mean it wa
futuresmut,1,1,,"check: unusual word, term or non-English",salon-094,our designs so constantly all of us went bad futuresmut Jacquelyn and forth between each other. Some
futureoflife,1,1,,"check: unusual word, term or non-English",salon-051,lled the future of life and their website is futureoflife.org and they work with the government and wi
futur,1,1,future,likely misspelling / mishearing,salon-106,"reating a game, a video game. The name is Au Futur des Ancestros, in which you will have the di"
furley,1,1,Hurley | Farley | Curley,likely misspelling / mishearing,salon-042,"believe, in the Zoom. He also goes by Demian Furley, I believe. And what he says about this piec"
funde,1,1,funds | funded | fund,likely misspelling / mishearing,salon-101, and equity and www things like that. They'd funde them when they saw how beautiful these hopes
fulfils,1,1,fulfill | fulfills,likely misspelling / mishearing,salon-054, openness. And I think expressionism already fulfils an important function if there are artists a
fujin,1,1,Fuji | fuji | fujian,likely misspelling / mishearing,salon-105,"ith tools that are arguably pretty sterile.  Fujin. Do you actively… Those digital tools, or do"
fts,1,1,its | fits | vets,"check: unusual word, term or non-English",salon-010,"e. What else. This one, have you got into an FTS at all because I know it's like you know wor"
frybird,1,1,freeboard | fry bird | fry-bird,"check: unusual word, term or non-English",salon-019,"lack ring, rubber ring thing that I found in Frybird, I've used it many, many times. I love that "
frontosa,1,1,fronts,likely misspelling / mishearing,salon-023,"y husband's fish tank. He has a fish tank of Frontosa cichlids. And again, it was a slow shutter s"
frontlining,1,1,front lining | front-lining,likely misspelling / mishearing,salon-016," liked that idea.  And I think that's really frontlining, you know, the work, you know, and all the o"
fromyoutube,1,1,,"check: unusual word, term or non-English",salon-087,"ly hand off to kids at school that she knows fromYouTube Anyway, it's pretty open-ended right now, bu"
fromitution,1,1,,"check: unusual word, term or non-English",salon-101, well known as Gwangju Al reminds me of went fromitution for coffee not coffee. But GMA has always be
froggen,1,1,frogger | frogged | forgone,likely misspelling / mishearing,salon-025, studying those people like at intro michael froggen sean gorlick I decided I need to make money 
fritzov,1,1,Fritz,likely misspelling / mishearing,salon-020,cept that I got from reading in the late 70s fritzov copras the Tao of physics some of you may kn
friscole,1,1,,"check: unusual word, term or non-English",salon-087," choose further deep sleep. The!  Thank you, Friscole! It's so nice to meet you and see you in per"
friedman,1,1,Friedman | freedman | freedmen,likely misspelling / mishearing,salon-050,"ted States Senate to design a chair for Rafi Friedman Gerstmann, who was the first transgender, op"
frick,1,1,Rick | trick | brick,likely misspelling / mishearing,interview-030," had an assistant who was a retiree from the Frick Library, so it was… it was amazing, and a lo"
freestand,1,1,free stand | free-stand | freestone,likely misspelling / mishearing,salon-073,"g to do is on this side wall here, there's a freestand. And it's a kind of a standing wall that rig"
freehouse,1,1,treehouse | free house | firehouse,likely misspelling / mishearing,salon-109,ould seem far far away from beautiful Amazon freehouse until ever since learn those loud antes pal 
frederick's,1,1,Frederick's | fredrick's | fredericka's,likely misspelling / mishearing,salon-008,of a video I made that I like. I just pasted Frederick's Instagram into the chat window. If any of yo
frederica,1,1,Frederica | Frederick | Frederic,likely misspelling / mishearing,salon-020,"ey would intersect that scaffold. So here in Frederica Taylor Gallery, I don't know if any of you g"
fred,1,1,Fred | free | feed,likely misspelling / mishearing,salon-107," I was wondering if each of you guys, Bo and Fred, if you could respond, could, you know, spea"
fras,1,1,frat | eras | bras,"check: unusual word, term or non-English",roundtable-006,"e, they had The Cooning's Gotham News, great Fras Klein, a whole room of… of Clifford Still, a"
frankel,1,1,Frankel | franked | franker,likely misspelling / mishearing,salon-096,ving Image. 3rd Rail art Recess and the Jean Frankel Theatre. She is a member of Krama collective
francine's,1,1,Francine's,likely misspelling / mishearing,salon-086,"ery much with Moritz and Cynthia, I'm sorry, Francine's work and Lee's work there.  So then we got h"
fractally,1,1,fractal | fractals,likely misspelling / mishearing,salon-035,like pushpin shapes that are scattered about fractally so that you get some interesting light and d
fournier,1,1,Fournier | Fourier | fernier,likely misspelling / mishearing,salon-106, piece I did with Olivier Aubert and Thierry Fournier. And it was for a museum. It was a kind of d
fourier,1,1,Fourier | courier | Fournier,likely misspelling / mishearing,salon-011,n't see it. So I use an algorithm called the Fourier Transform that can actually take apart a sou
forths,1,1,forth | worths | fortis,likely misspelling / mishearing,salon-008,"mum. So, you know, there were a few back and forths with Patrick and I were like, I gave my resp"
foresteham,1,1,,"check: unusual word, term or non-English",salon-093,yler Kaplan works at Ford Photography groups foresteham einenhearted PA second that Colin mentioned 
forer,1,1,former | fore | forex,likely misspelling / mishearing,salon-104,presentable before you can go to a gallery.  Forer collectors will be interested in it. There w
fordasa,1,1,Fords | fords,likely misspelling / mishearing,salon-098,identify things so if we happen to put twoég Fordasa input fits by the location of hands and feet
fondicherry,1,1,,"check: unusual word, term or non-English",salon-023,"is is my project. It's called the Artists at Fondicherry, India. So, we thought of, okay, let's come "
fon's,1,1,tons | don's | cons,"check: unusual word, term or non-English",salon-107," that. And again, I forgot that to even read Fon's text. I guess I'm just like losing my readin"
fon,1,1,for | on | fun,"check: unusual word, term or non-English",salon-107,"hat's all I got at this point.  Awesome. So, Fon, what do you think? Yeah, so, I guess I've a"
fofa,1,1,sofa | offa | fora,"check: unusual word, term or non-English",salon-102," Monica Art Center in Barcelona, the Gallery FOFA in Montreal, and the Nobel Prize Museum at, "
flynn,1,1,Flynn | Lynn | fly,likely misspelling / mishearing,interview-026,"ction.  We're now collaborating with Garrett Flynn of USC's Media Arts, Games, and Health Depar"
fluxist,1,1,flutist,likely misspelling / mishearing,salon-022,"rutalist emigrate artist, feminist artist, a fluxist artist. Oh, yeah. So we saw... The when we w"
florenze,1,1,Florence | florins,likely misspelling / mishearing,interview-030,"ng I went to was in 2015, in… I think it was Florenze, in Florence. And so… and, oh, this is just "
florentine,1,1,Florentine | Florentino | florentines,likely misspelling / mishearing,roundtable-005,", and feminism. She combines influences from Florentine Renaissance, art, surrealism, and a variety "
flipside,1,1,flipped | flip side | flip-side,"check: unusual word, term or non-English",salon-039,Just Zelensky being able to. And the flipside of that is the obsolescence of privacy and s
flippin,1,1,flipping | flip pin | flip-pin,likely misspelling / mishearing,salon-099,"ake it so seriously. I may come off a little flippin' light, but what I'm dealing with is a real "
flexis,1,1,Alexis | flexes | flexi,likely misspelling / mishearing,salon-078,"e serial lists, and then later times, we saw Flexis.  Working in this area with playful kind of "
fleurs,1,1,Fleury | fliers | flours,likely misspelling / mishearing,salon-050," blow up the work. And the series was called Fleurs Fusillades, which in English is floral bombs"
fleando,1,1,,"check: unusual word, term or non-English",salon-090,uy Ferrer studio in digo Imperium C nah wave fleando Bay Baybrook nit wa Ken Watkins theater TV s
flavour,1,1,flavor,likely misspelling / mishearing,salon-045,spressionists.  The theme of our show is The Flavour of Maple. You can interpret that any way you
flav,1,1,flat | fav | flag,"check: unusual word, term or non-English",salon-106,t November.  We did a prayer in front of the Flav Mono to the fire divinity. And the exhibitio
flashbible,1,1,flashbulb | flash bible | flash-bible,"check: unusual word, term or non-English",salon-050,thing came crashing down was this ridiculous flashbible CD-ROM. You'd put into your computer and it 
flashart,1,1,flashers | flasher | flash art,"check: unusual word, term or non-English",salon-016,"ing is that it was her son, but he wrote for FlashArt. He was a fairly prominent curator. And so t"
flannerism,1,1,,"check: unusual word, term or non-English",salon-059," gonna go back to a lot of my work in the 3d flannerism, like, you know, like she and I have done so"
fiu's,1,1,fits | figs | firs,"check: unusual word, term or non-English",salon-092, She has recently participated in a panel at Fiu's Radcliffe incubator space titled before and 
fitzgerald,1,1,Fitzgerald,likely misspelling / mishearing,salon-057,"e work not too long prior to that for Cantor Fitzgerald, who was like up on the top floor and just s"
fishbox,1,1,fishbone | fish box | fish-box,likely misspelling / mishearing,salon-032,"de from Sofia Santos. And from Steve Miller, Fishbox. Or did you know that an egg has this? Fears"
fischel,1,1,Fischer | fistula,likely misspelling / mishearing,salon-052,"e doing some stuff with the church with Eric Fischel in a bit.  But love you guys. And seriously,"
first-gen,1,1,first-get | first-ten | first-gun,likely misspelling / mishearing,presentation-009,"and the first and the only of the first, the first-gen of the wild beasts who followed them, notabl"
firma,1,1,firms | firm | forma,likely misspelling / mishearing,salon-015,ls all the time but I tend to bring in terra firma as well things that you can touch initially 
firkan,1,1,firkin | firman,likely misspelling / mishearing,salon-059,Family Investment in Financial Investment in firkan Projekt APPLAUSE Musicians are unionized. Ma
firefox,1,2,Firefox | firebox | fire fox,likely misspelling / mishearing,salon-013,"en. And then I'm going to go to the desktop. Firefox. Now remember when you share, you had to cli"
fior,1,1,for | Dior | fir,likely misspelling / mishearing,salon-072,. So. Is based on a character named La Casta Fior. She's a. An opera singer. Diva. And here sh
finn,1,1,find | Finn | fine,"check: unusual word, term or non-English",presentation-003,raphic Institution and I'm also working with Finn Wimbley who is a research and technical advi
finley,1,1,finally | Finley | finely,"check: unusual word, term or non-English",salon-082,"o harm Garrett.  But precinct. Commander Ben Finley, claiming Garrett, pointed a shotgun at him,"
finland,1,1,Finland | Vinland | inland,likely misspelling / mishearing,salon-090,"it was text-based. And in that, I did one in Finland that was the story of the Kalevala. And ever"
financialization,1,1,,"check: unusual word, term or non-English",salon-087,ation of artificial intelligence systems and financialization of digital assets. But it is not just limite
filmora,1,1,filmier,"check: unusual word, term or non-English",presentation-008, I use all free tools except for Wondershare Filmora which I use for video editing. And once in a
fiji,1,1,Fiji | fuji,likely misspelling / mishearing,salon-041,"bleaching. I spent three incredible weeks in Fiji in the 90s, snorkeling and diving, incredibl"
figueres,1,1,figures | figure's,likely misspelling / mishearing,interview-021,dali's hometown in caddequez no I'm sorry in figueres this is hometown but he at the time he lived
figigal,1,1,Figgie | figural,"check: unusual word, term or non-English",salon-070," think is really interesting. Let me get the FIGIGAL. FIGIGAL? FIGIGAL, yeah. I don't know if we "
fifa,1,1,Fifa | fife | fina,likely misspelling / mishearing,salon-100,"And thank you very much and welcome again to FIFA, Pakistan. And I like, art everyone from you"
fidgetle,1,1,fidget | fidgets | fidgety,likely misspelling / mishearing,salon-098,"ial enterprises per column. I didn't realize Fidgetle had been around this long, but if it's about"
festivizing,1,1,,"check: unusual word, term or non-English",salon-049,ut if we could bring together something more Festivizing than just having people fall apart or possib
ferzes,1,1,ferries | fezes | fezzes,"check: unusual word, term or non-English",salon-102,"te. Krin.  Manchillo. A vous, qui remittance Ferzes. Uchmandata. La minim shayna.  So as you can"
feruza,1,1,Ferris | ferrous | ferula,"check: unusual word, term or non-English",salon-100,"It's really amazing.  Yeah. For the catalog, Feruza did a lot of the translating. She just volun"
ferruzza's,1,1,Ferris's,"check: unusual word, term or non-English",salon-100,"of our guests who came with Ferruzza, I know Ferruzza's last name, but I can't remember it. She's a "
ferruzza,1,1,Ferris | ferrous,"check: unusual word, term or non-English",salon-100,"n. Here are some of our guests who came with Ferruzza, I know Ferruzza's last name, but I can't re"
ferroni,1,1,Ferrari | Ferro | fern,"check: unusual word, term or non-English",salon-009, think that's it. It's like a big non-the en Ferroni. It's not like a big car. It's not like a bi
ferrer,1,1,Ferrer | Ferrari | ferret,likely misspelling / mishearing,salon-090,corded via Sony Quando Van Halen near CR��uy Ferrer studio in digo Imperium C nah wave fleando B
ferre,1,1,Ferro | ferry | ferret,likely misspelling / mishearing,salon-108,"ve two composers. Yes, Stephen Paray. Steven Ferre is one, and Yue Hao Gao. So it was just wond"
ferrariolo,1,1,,"check: unusual word, term or non-English",salon-104,"niversity of London. Our third guest, Angela Ferrariolo, is a systems artist focused on open-endedne"
feralphile,1,1,,"check: unusual word, term or non-English",interview-030,"rst, but one of my earliest NFTs that was in Feralphile."
ferality,1,1,fertility | fertile | ferocity,likely misspelling / mishearing,salon-046,e notion of wild or wilding or the notion of ferality you know in media you know what is what is m
femini,1,1,gemini | Gemini,likely misspelling / mishearing,salon-105,p of each 9 video. And those are quotes from Femini scholars. You don't know what you're gonna g
femia,1,1,femur | fem. | femora,"check: unusual word, term or non-English",salon-064,di.  And the name of the place is La Sagrada Femia. And here I'm zooming in a little bit. When 
felice's,1,1,Felicia's | Felipe's | felines,likely misspelling / mishearing,salon-086,"igital analog exploration. We have Andrea De Felice's work here, which is a breathing pump that pu"
felice,1,1,Felicia | Felipe | feline,"check: unusual word, term or non-English",salon-086,dion pumps air into it.  So that's Andrea de Felice. We have a big wall here that was the site o
felden,1,1,Elden | feline | felled,likely misspelling / mishearing,salon-015, like film in this case wool sexy for Morden Felden has called that because it's filled with six
feifelt,1,1,,"check: unusual word, term or non-English",salon-057, for sharing that and remembrances to george feifelt who passed on a couple weeks ago who ran bos
feiderman,1,1,,"check: unusual word, term or non-English",salon-020,piece about reflection that I did at Shirley Feiderman that I had great aspirations for this piece.
fei,1,1,few | Wei | fee,"check: unusual word, term or non-English",salon-055,"ere was a point where the Chinese artist Cao Fei did a, did her interpretation of, of. Beijin"
feeded,1,1,needed | feeder | seeded,likely misspelling / mishearing,salon-030,ffect.  And then the actual imagery that was feeded is a generative imagery to which look comple
fedini,1,1,feeding | fed ini | fed-ini,"check: unusual word, term or non-English",salon-108,"composer who I mentioned already, Alessandro Fedini. He used to be a jazz player for 15 years in"
fedexed,1,1,,"check: unusual word, term or non-English",salon-042," had it printed in London, England, and they FedExed it to me, whereupon I signed it and then shi"
fdr,1,1,for | far | fir,"check: unusual word, term or non-English",salon-039,ng I wanted to say is you know churchill and fdr got on the radio and they were communicating
fbi,1,1,bf | fyi | fib,"check: unusual word, term or non-English",salon-012,omebody that claimed they were like with the FBI. Although I think it was actually one of my 
faulkner,1,1,Faulkner | falconer,likely misspelling / mishearing,salon-109,"It's like,, I think it was, who said it? Oh, Faulkner. He said, just because it's the past doesn't"
fath,1,1,fat | math | bath,likely misspelling / mishearing,interview-012, and a little bit with Mel Bauchner and Judy Fath. But I'd say... I'd say that Elizabeth and A
fastly,1,1,lastly | vastly | factly,likely misspelling / mishearing,salon-095,"ecause, you know, like, I use my brain super fastly, like, trying to understand, like, a convers"
farnisdor,1,1,,"check: unusual word, term or non-English",salon-046,"hink last one of the other pieces we have is Farnisdor Gar, who I don't know, is it... Being that a"
farmville,1,1,FarmVille,likely misspelling / mishearing,salon-057,"hat.  It's like a nightmarish Mario Bros and Farmville kind of. Yeah, yeah. Yeah. Because I first s"
farah,1,1,Sarah | Farrah | Tarah,likely misspelling / mishearing,salon-012,ow a few of these. So... That's before Amina Farah. So... Okay. So I'm fast forwarding again. A
fanual,1,1,manual | fauna | faunas,likely misspelling / mishearing,salon-077,his was for a proposal for a reebok store at Fanual Hall in Boston.  This is a model in the actu
falkner,1,1,Faulkner | falconer,likely misspelling / mishearing,interview-015,"fluence is in terms of artists, Rapalek, and Falkner. And Frankenthaler and Olinsky and Koons. An"
falag,1,1,flag,likely misspelling / mishearing,salon-065,"ch is what this was called. The green of the Falag, which represents the bountiful land that's "
fakeness,1,1,fakes | fakers | fake's,"check: unusual word, term or non-English",interview-029,"here we did our thing, which was called Real Fakeness.  And we made… A manifesto! Oh, you did one "
fahrenheit,1,1,Fahrenheit,likely misspelling / mishearing,salon-053,"o me when we think about the introduction to Fahrenheit 451, where they have these three walls cover"
fadini,1,1,fading | Fadini | fadein,likely misspelling / mishearing,salon-108,lla… formal name and real name is Alessandro Fadini. He's originally from Italy. We call them Al
facetiming,1,1,face timing | face-timing,likely misspelling / mishearing,salon-023,"d she's now addicted to, you know, she'll be FaceTiming with her nine or ten-year-old cousin at the "
ezra,1,2,Ezra | era,likely misspelling / mishearing,salon-015,"you can see, is Bob D and this is Nietzsche. Ezra Pound. I also did some artists that, you kno"
eyecatch,1,1,eyepatch | eye catch | eye-catch,likely misspelling / mishearing,salon-042,"German node. Him and the artist next to him, Eyecatch. So he says, my work incorporates glitch tec"
ey,1,1,eye,likely misspelling / mishearing,salon-102,"tion, Jerome Foundation, Creative Australia, EY Metaverse Lab, New Inc. At the New Museum, a"
exxon,1,1,Exxon | exon,likely misspelling / mishearing,salon-040,"and I'd be like, hey, can I get some of that Exxon money? And they kicked me out of bond for bu"
expresso,1,1,espresso | express | express's,likely misspelling / mishearing,salon-109,"ork.  Now, Texpresso, I think it's a play on expresso, coffee, Texpresso and Techspressionism sudd"
expressdoran,1,1,,"check: unusual word, term or non-English",salon-031," my contact. And I really like to talk about ExpressDORAN, this project and Metaverse. Of course, I wa"
experimentational,1,1,experimentation,likely misspelling / mishearing,salon-070,nter. And that was just real experimenting.  Experimentational work where I had a – like a 13 by 19 inch fo
expatic,1,1,,"check: unusual word, term or non-English",salon-105," Or is it something emergent, or has it been expatic? I would love to hear from you. You know? Be"
exotopia,1,1,ecotopia,likely misspelling / mishearing,salon-046, you know at astronomy scott kildall's piece exotopia is basically basically a VR guide to the kno
excerptive,1,1,exceptive | execrative,likely misspelling / mishearing,salon-079, from 1669. I'm just gonna read a very short Excerptive you'll bear with me of Peter Gillespie's des
ewoks,1,1,Ewoks | woks | wok's,likely misspelling / mishearing,salon-012,"d of Southern rock band called Ethan and the Ewoks, that really, a really nice group of guys. A"
evny,1,1,envy,"check: unusual word, term or non-English",salon-096,adding to that portion. So it's kind of like Evny medium is now welcome. It's an awesome show.
everydays,1,1,everyday | every days | every-days,likely misspelling / mishearing,salon-031,ho Beeple is. Particularly since he sold the Everydays for 69 million. That was the headline grabbi
everest,1,1,Everest | Everett | severest,likely misspelling / mishearing,interview-024,hat you can do is a pebble compared to Mount Everest. That's a lousy example.  Not quite. And tha
everbeta,1,1,Everett | ever beta | ever-beta,likely misspelling / mishearing,interview-004," This is Colin Goldberg, webcasting from the Everbeta Content Network. I'm here with Joseph Nechva"
european-centric,1,1,europeans-centric,likely misspelling / mishearing,salon-051,ado is talking about as well in terms of the European-centric view of what the world is about. Are the ima
euclid,1,1,Euclid,likely misspelling / mishearing,salon-089,"talk, so this is like talk two, is about the Euclid. Exhibit plan and what we went through over "
etsy,1,1,easy | Etsy | Betsy,"check: unusual word, term or non-English",salon-084,e directly with other platforms like shopify Etsy. Also through. There's sort of like a connec
etisabian,1,1,,"check: unusual word, term or non-English",salon-046,and partner of all thing in all things Nagin Etisabian for all her amazing amazing help in this pro
etienne,1,1,Etienne | atone,likely misspelling / mishearing,salon-079,s that time. Laps if you will. Here. This is Etienne. Mara. Somebody pronounce it better for me. 
ethiopian,1,1,Ethiopian | Ethiopia | Ethiopians,likely misspelling / mishearing,salon-027,aybe you're aware of him or not I think he's Ethiopian I'm not sure. Abraham Elsa Elsa hot Elsa Lah
